Google Flu Trends - Canada
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Saskatchewan,Quebec
2010-07-04,561,545,565,518,819,1344,603,512,899,474
2010-07-11,451,511,526,528,749,1253,577,408,827,398
2010-07-18,462,589,299,543,685,1166,535,441,751,376
2010-07-25,481,635,381,539,637,1094,494,416,730,455
2010-08-01,468,553,355,506,607,1025,494,405,681,443
2010-08-08,442,549,451,562,564,984,465,384,678,306
2010-08-15,506,620,397,565,534,964,494,458,679,358
2010-08-22,569,674,492,518,526,922,526,553,678,404
2010-08-29,648,697,544,506,568,888,495,547,673,615
2010-09-05,857,977,527,521,561,905,573,849,803,737
2010-09-12,1121,1199,813,563,580,887,791,1051,969,1125
2010-09-19,1409,1301,1069,756,715,926,1137,1324,1134,1467
2010-09-26,1519,1202,1145,1068,901,905,1682,1486,1255,1580
2010-10-03,1552,1205,1244,1209,1123,982,1691,1657,1391,1523
2010-10-10,1486,1287,1164,1210,1342,1079,1577,1416,1663,1678
2010-10-17,1486,1364,1147,1151,1536,1241,1617,1439,1691,1592
2010-10-24,1419,1410,1388,1049,1625,1332,1522,1315,1695,1438
2010-10-31,1594,1604,1168,1194,1578,1454,1438,1659,1717,1535
2010-11-07,1613,1387,1287,1343,1625,1554,1469,1749,1618,1545
2010-11-14,1797,1648,1365,1674,1597,1612,1533,2006,1700,1552
2010-11-21,1815,1805,1389,1779,1625,1583,1591,2041,1884,1506
2010-11-28,1960,1906,1312,2284,1559,1519,1498,2422,2030,1414
2010-12-05,2174,2042,1326,3194,1572,1452,1661,2716,1981,1573
2010-12-12,2526,2359,1491,3844,1599,1480,1775,3169,2063,1798
2010-12-19,3062,2108,1760,4150,1605,1476,2016,4149,1932,2321
2010-12-26,3816,2543,2216,4352,1692,1564,2085,5020,2205,3202
2011-01-02,3924,2599,2492,3848,1834,1738,2442,4801,2671,3337
2011-01-09,3448,2487,2411,3204,2151,1851,2638,4094,2781,2621
2011-01-16,3350,2159,2367,2580,2569,1823,2495,3774,2489,2533
2011-01-23,3162,2028,2130,2052,2613,1926,2660,3316,2348,2235
2011-01-30,2952,2076,1960,1819,2671,2006,2936,2781,2132,2236
2011-02-06,2735,2123,2217,1723,2939,2090,3517,2576,2040,2063
2011-02-13,2307,2321,2334,1819,4002,1945,3470,2359,2168,1858
2011-02-20,2313,2110,2549,1951,4817,1890,3594,2279,2481,1830
2011-02-27,2182,2221,2506,1831,4450,1968,3554,2135,2463,1709
2011-03-06,2023,2125,2480,1703,3883,2145,3135,1955,2131,1561
2011-03-13,1784,2170,2157,1614,3338,2241,2671,1677,1892,1351
2011-03-20,1665,1750,1654,1501,2998,2358,2680,1656,1756,1359
2011-03-27,1476,1542,1447,1347,2833,2420,2736,1341,1724,1381
2011-04-03,1348,1080,1011,1225,2568,2424,2611,1367,1738,1404
2011-04-10,1172,1161,808,1052,2274,2326,2495,1123,1616,1210
2011-04-17,1097,899,824,1088,2200,2190,2310,1097,1554,1044
2011-04-24,1011,854,1001,1001,1977,2235,2158,908,1454,1025
2011-05-01,879,742,783,855,1812,2098,1829,852,1421,965
2011-05-08,766,669,720,842,1663,2006,1646,749,1239,730
2011-05-15,775,696,737,768,1565,1809,1373,750,1087,760
2011-05-22,683,810,675,681,1490,1753,1246,583,959,680
2011-05-29,625,751,652,608,1328,1661,1175,575,882,556
2011-06-05,606,729,639,547,1184,1536,1083,546,778,511
2011-06-12,518,675,519,502,1091,1424,1030,466,724,486
2011-06-19,476,623,485,461,1039,1309,1007,420,657,371
2011-06-26,410,580,427,418,952,1241,914,374,613,305
2011-07-03,409,483,413,397,883,1172,855,363,619,388
2011-07-10,354,397,403,373,807,1106,806,324,593,306
2011-07-17,332,407,400,370,759,1016,735,309,652,252
2011-07-24,243,426,314,346,693,914,668,204,617,218
2011-07-31,323,383,343,337,631,865,614,316,622,181
2011-08-07,180,359,289,309,575,824,572,118,563,152
2011-08-14,231,336,219,328,551,790,514,210,535,149
2011-08-21,211,299,203,332,517,756,466,129,517,176
2011-08-28,238,236,133,334,508,744,475,222,495,354
2011-09-04,372,277,161,317,491,721,472,297,462,531
2011-09-11,476,426,245,316,503,710,455,470,467,600
2011-09-18,764,825,525,339,513,678,514,719,456,805
2011-09-25,1030,1152,948,420,573,694,565,1017,520,1001
2011-10-02,1120,1274,1118,524,641,691,650,1172,568,1055
2011-10-09,1248,1449,1255,603,790,728,823,1145,603,1392
2011-10-16,1467,1926,1432,839,933,766,1025,1534,986,1569
2011-10-23,1679,2121,1665,1069,1116,840,1163,1781,1350,1666
2011-10-30,1926,2254,1633,1209,1344,994,1425,1960,1579,1891
2011-11-06,1919,2193,1658,1442,1402,1213,1574,1892,2084,2059
2011-11-13,1950,2641,1831,1527,1462,1315,1764,1931,2224,1735
2011-11-20,1957,2752,1847,1509,1638,1363,1751,1937,2296,1741
2011-11-27,1920,2783,1829,1534,1851,1549,1650,1824,2383,1671
2011-12-04,2035,2541,2107,1598,1897,1553,1695,1958,2445,1837
2011-12-11,2269,2865,2628,1628,2082,1622,1775,2109,2706,2007
