Google Flu Trends - Australia
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Australia,Australian Capital Territory,New South Wales,Queensland,South Australia,Victoria,Western Australia
2012-05-27,594,434,663,385,681,691,394
2012-06-03,666,398,733,450,663,789,452
2012-06-10,738,381,871,529,790,862,374
2012-06-17,989,789,1178,534,1042,1090,633
2012-06-24,1156,1112,1262,630,932,1436,898
2012-07-01,1658,1876,1583,1205,2224,1894,1374
2012-07-08,1977,3288,1814,1377,2208,2212,2405
2012-07-15,1571,1930,1168,1386,1662,1489,1267
2012-07-22,1395,1053,1185,1586,1206,1190,1756
2012-07-29,1300,682,1359,1843,1206,964,1473
2012-08-05,1383,606,1404,2654,1315,986,1174
2012-08-12,1389,641,1325,2783,1148,1138,1003
2012-08-19,1270,649,1245,2235,1039,1130,821
2012-08-26,1191,707,935,2021,1164,1050,686
2012-09-02,823,557,781,1081,881,729,591
2012-09-09,644,389,737,628,648,595,508
2012-09-16,495,286,530,432,592,521,396
2012-09-23,361,289,344,316,374,434,293
2012-09-30,320,260,259,303,309,418,326
2012-10-07,301,212,264,275,377,379,250
2012-10-14,267,221,223,238,352,339,227
2012-10-21,221,204,199,187,243,282,171
2012-10-28,227,182,195,219,238,307,134
2012-11-04,198,162,172,195,245,239,139
2012-11-11,205,157,187,164,191,270,172
2012-11-18,169,139,162,136,162,207,128
2012-11-25,154,147,146,165,144,184,92
2012-12-02,144,145,143,131,124,180,92
2012-12-09,137,145,133,125,118,161,93
2012-12-16,146,147,147,117,119,178,116
2012-12-23,158,128,153,152,175,185,113
2012-12-30,155,128,173,135,134,153,130
2013-01-06,156,129,159,140,134,173,128
2013-01-13,152,135,155,140,121,175,135
2013-01-20,122,110,128,112,103,124,123
2013-01-27,131,96,134,109,162,140,123
2013-02-03,144,98,156,160,159,136,109
2013-02-10,144,98,161,159,124,144,100
2013-02-17,181,89,216,163,195,178,130
2013-02-24,188,104,211,213,179,153,159
2013-03-03,210,137,204,241,199,203,192
2013-03-10,231,175,253,284,195,197,201
2013-03-17,275,220,269,318,260,263,226
2013-03-24,236,186,254,222,244,236,232
2013-03-31,277,181,276,263,270,284,320
2013-04-07,286,213,327,238,252,286,293
2013-04-14,293,244,322,256,250,310,247
2013-04-21,272,233,308,244,225,307,176
2013-04-28,305,207,337,258,264,346,213
2013-05-05,379,258,407,320,293,469,194
2013-05-12,393,321,364,391,352,447,364
2013-05-19,443,314,402,475,362,552,325
2013-05-26,475,299,449,506,359,535,476
2013-06-02,506,316,462,523,596,536,472
2013-06-09,513,374,486,467,523,598,408
2013-06-16,507,303,503,453,518,616,366
2013-06-23,505,256,457,439,652,648,400
2013-06-30,492,274,509,399,494,597,408
2013-07-07,508,321,530,398,468,611,434
2013-07-14,528,391,566,396,469,641,411
2013-07-21,575,477,672,464,460,645,377
2013-07-28,684,561,806,618,476,738,466
2013-08-04,764,578,921,661,527,880,456
2013-08-11,788,735,917,567,592,996,443
2013-08-18,914,748,1189,619,627,996,643
2013-08-25,932,946,1083,644,738,1136,623
2013-09-01,719,661,715,566,618,888,628
2013-09-08,661,485,605,542,734,833,588
2013-09-15,542,450,429,462,600,729,558
2013-09-22,438,297,333,322,584,609,547
2013-09-29,371,225,271,267,504,482,637
2013-10-06,317,176,247,256,420,394,461
2013-10-13,288,158,210,247,411,396,361
2013-10-20,269,148,179,227,418,394,356
2013-10-27,270,158,172,266,481,370,314
2013-11-03,261,161,184,230,485,347,298
2013-11-10,235,176,164,196,389,348,225
2013-11-17,205,161,158,158,314,301,175
2013-11-24,198,142,146,177,367,288,147
2013-12-01,185,122,155,179,257,229,156
2013-12-08,171,115,138,158,292,222,117
2013-12-15,149,100,128,140,199,181,139
2013-12-22,135,91,105,118,170,187,115
2013-12-29,148,83,119,119,199,203,133
2014-01-05,154,90,147,132,158,209,149
2014-01-12,125,91,112,144,112,139,140
2014-01-19,120,78,109,151,120,118,127
2014-01-26,116,64,115,131,123,109,130
2014-02-02,113,52,108,146,110,109,131
2014-02-09,132,61,132,154,137,125,118
2014-02-16,145,72,158,150,165,136,138
2014-02-23,182,85,189,188,259,183,132
2014-03-02,215,111,230,204,231,234,142
2014-03-09,242,129,244,267,224,265,168
2014-03-16,268,190,255,323,250,288,173
2014-03-23,300,183,283,326,330,340,196
2014-03-30,292,146,275,321,370,329,214
2014-04-06,289,144,303,262,270,326,245
2014-04-13,271,152,298,231,282,292,206
2014-04-20,308,218,319,269,265,359,258
2014-04-27,390,306,412,327,503,482,284
2014-05-04,410,257,414,402,329,485,318
2014-05-11,485,217,470,449,430,618,388
2014-05-18,492,265,477,472,448,625,368
2014-05-25,520,359,440,579,466,661,442
2014-06-01,515,332,474,422,409,681,523
2014-06-08,599,373,499,534,700,803,568
2014-06-15,719,398,633,607,780,1010,555
2014-06-22,714,395,633,726,705,893,592
2014-06-29,729,371,692,650,718,821,805
2014-07-06,927,536,974,885,869,890,987
2014-07-13,1078,561,1095,1244,1137,941,946
2014-07-20,1259,888,1344,1637,1149,1082,929
2014-07-27,1559,1066,1806,2190,1227,1315,866
2014-08-03,1841,972,2067,2827,1761,1390,1081
2014-08-10,2387,2054,2668,3440,3816,1881,1218
2014-08-17,2338,1733,2241,3096,5236,2115,1296
2014-08-24,2071,1369,1788,2387,6717,1985,1249
2014-08-31,1611,972,1237,1988,5444,1705,901
2014-09-07,1370,1004,1014,1732,4581,1458,750
2014-09-14,981,701,695,1163,3324,1048,689
2014-09-21,741,509,523,725,2254,913,601
2014-09-28,511,392,406,464,1163,603,463
2014-10-05,415,262,294,415,861,552,466
2014-10-12,346,159,276,335,625,416,348
2014-10-19,318,150,253,320,475,377,322
2014-10-26,311,180,278,300,390,382,254
2014-11-02,275,156,241,244,440,333,263
2014-11-09,233,176,187,201,328,310,231
2014-11-16,197,151,168,166,278,244,199
2014-11-23,165,126,139,176,223,188,169
2014-11-30,188,92,156,189,245,233,175
2014-12-07,179,71,153,163,212,241,175
